InstanceId,InstanceName,InstanceType,InstanceState,Region
i-0e74f67c3154a0c8a,ecs-use1-ap-pe-entitlement-service-ubx2-fat-api-p,m5a.large,running,us-east-1
i-02475c34470586687,ag-insights-worker-ubx2-metadata-collector-p,t3.small,running,us-east-1
i-07a3776390517a856,identity-ui-ubx-dev,t2.medium,running,us-east-1
i-0be955c929e10eb08,asg-use1-ap-pe-platform-core-services-p,m5a.large,running,us-east-1
i-021dd5b34f34b38bb,Informatica_Secure_Agent-Sandbox-Agent-3,m5.4xlarge,running,us-east-1
i-0603ad48426c644f8,eb-use1-ap-pe-quotes-client-oad-web-q-v2,m5a.large,running,us-east-1
i-0551dab985b25cdc4,entitlement-management-service-v2-r-prod,m5a.large,running,us-east-1
i-0eb15abd6c6b77584,,t2.medium,running,us-east-1
i-06555c40453a2ee6b,ecs-use1-ap-pe-notification-changeset-services-ubx2-api-u,m5a.large,running,us-east-1
i-05314eba66db63b11,pcm-api-qa-green,m4.xlarge,running,us-east-1
i-00b862d4d4c6f1b24,identity-ui-ubx-prod-green,t2.medium,running,us-east-1
i-041e404634964b86f,ecs-use1-ap-ap-notifications-service-ubx2-api-u,m5a.large,running,us-east-1
i-07a4b583b92699f40,eb-use1-ap-pe-notif-srv-ubx2-api-p-b,m5.large,running,us-east-1
i-0fc21fb4f01411962,license-listener-service-uat,t2.medium,running,us-east-1
i-070341520743f9ad2,ecs-use1-ap-pe-insights-service-ubx2-sushi-api-usage-reports-u,m5a.large,running,us-east-1
i-000d36c4045d57374,ecs-use1-ap-pe-licenses-service-ubx2-api-p,m5a.large,running,us-east-1
i-04fc1d1b2f302c3de,OADashboard-API-v2-uat-blue,t3a.medium,running,us-east-1
i-0ee54a7076a775255,ecs-use1-ap-pe-entitlement-service-ubx2-api-p-r,m5a.large,running,us-east-1
i-09ae0e1795a02e877,ecs-use1-ap-pe-entitlement-service-ubx2-api-p,m5a.large,running,us-east-1
i-00f708df43ec61055,ecs-use1-ap-pe-notification-pipeline-service-ubx2-api-u,m5a.large,running,us-east-1
i-0d448515d59be524f,asg-ecs-use1-ap-pe-worker-changesetprocessor-ubx2-p,m5a.large,running,us-east-1
i-0b12987fc8ccf72ee,ecs-use1-ap-pe-search-ubx2-api-u,m5a.large,running,us-east-1
i-01aedb5b9560f7608,identity-ui-ubx-prod,t2.medium,running,us-east-1
i-09ba547d284c57676,ecs-use1-ap-pe-jobs-service-ubx2-api-p,m5a.large,running,us-east-1
i-08f56299fca3eff91,ecs-use1-ap-ap-changeset-service-ubx2-api-u,m5a.large,running,us-east-1
i-0cbc7d60ec9a1b091,Airflow-Prod,t2.medium,running,us-east-1
i-09e785b531ac6aa24,,t2.micro,running,us-east-1
i-0e797269f33ed6818,asg-content-client-ubx2-cms-p,m5a.large,running,us-east-1
i-0dfca0b0e7b2780ae,eb-use1-ap-pe-ems-service-ubx2-api-p-r,m5a.large,running,us-east-1
i-0fabb419632ea0f9b,asg-content-client-ubx2-cms-p,m5a.large,running,us-east-1
i-0555b71a727455472,pcm-api-uat-green,m4.xlarge,running,us-east-1
i-0db84bbacc0d638be,eb-use1-ap-pe-oad-web-d-v2-blue,m5a.large,running,us-east-1
i-0641ef43da5e10d20,asg-use1-ap-pe-platform-core-services-p,m5a.large,running,us-east-1
i-0ccf4c2064ad39375,ag-insights-worker-ubx2-metadata-collector-u,t3.small,running,us-east-1
i-0c5f5219f55bcccd3,Customer-API-Prod-Green-1,m5a.large,running,us-east-1
i-05f9fe7a63de4cd24,ap-tandf-ubx2-ecs-cluster-pe-use1-d,m6a.2xlarge,running,us-east-1
i-036a42cf563d173a9,eb-use1-ap-pe-quotes-client-oad-web-p-v2,m5a.large,running,us-east-1
i-0a0122b2b16b337df,asg-use1-ap-pe-platform-core-services-p,m5a.large,running,us-east-1
i-08481d77b7935df1b,Usage-Report-API-PROD-1,r5a.large,running,us-east-1
i-08327bb9318c53cc1,Developer-UI-Prod-Env-v-one,m3.medium,running,us-east-1
i-03694e763b44adf29,Customer-API-Dev-1,t2.medium,running,us-east-1
i-0a31f95baee5a7ec4,OADashboard-API-UAT,m3.medium,running,us-east-1
i-0079512841928a536,asg-use1-ap-pe-platform-core-services-p,m5a.large,running,us-east-1
i-0aa0fac478d2a0666,OADashboard-API-Prod,m3.medium,running,us-east-1
i-0311474a9ad61b454,ag-insights-worker-ubx2-metadata-collector-p,t3.small,running,us-east-1
i-0dd1ecabc2f1032e9,identity-ui-ubx-preprod,t2.medium,running,us-east-1
